# id	length	x	y	z	rot_z	rot_y	rot_x
129	0.22	0.0	0.0	0	0	0	0
124	0.22	1.0	0.0	0	0	0	0
119	0.22	2.0	0.0	0	0	0	0
137	0.22	3.0	0.0	0	0	0	0
147	0.22	4.0	0.0	0	0	0	0
120	0.22	5.0	0.0	0	0	0	0
126	0.22	6.0	0.0	0	0	0	0
138	0.22	7.0	0.0	0	0	0	0
142	0.22	0.0	1.0	0	0	0	0
125	0.22	1.0	1.0	0	0	0	0
150	0.22	2.0	1.0	0	0	0	0
127	0.22	3.0	1.0	0	0	0	0
156	0.22	4.0	1.0	0	0	0	0
159	0.22	5.0	1.0	0	0	0	0
130	0.22	6.0	1.0	0	0	0	0
122	0.22	7.0	1.0	0	0	0	0
145	0.22	0.0	2.0	0	0	0	0
109	0.22	1.0	2.0	0	0	0	0
157	0.22	2.0	2.0	0	0	0	0
151	0.22	3.0	2.0	0	0	0	0
121	0.22	4.0	2.0	0	0	0	0
101	0.22	5.0	2.0	0	0	0	0
128	0.22	6.0	2.0	0	0	0	0
132	0.22	7.0	2.0	0	0	0	0
143	0.22	0.0	3.0	0	0	0	0
144	0.22	1.0	3.0	0	0	0	0
139	0.22	2.0	3.0	0	0	0	0
148	0.22	3.0	3.0	0	0	0	0
133	0.22	4.0	3.0	0	0	0	0
153	0.22	5.0	3.0	0	0	0	0
158	0.22	6.0	3.0	0	0	0	0
116	0.22	7.0	3.0	0	0	0	0
134	0.22	0.0	4.0	0	0	0	0
131	0.22	1.0	4.0	0	0	0	0
160	0.22	2.0	4.0	0	0	0	0
108	0.22	3.0	4.0	0	0	0	0
115	0.22	4.0	4.0	0	0	0	0
112	0.22	5.0	4.0	0	0	0	0
123	0.22	6.0	4.0	0	0	0	0
110	0.22	7.0	4.0	0	0	0	0
